,FIPS,2000_cand,2004_cand,2008_cand,2012_cand,2016_cand,2000_percent,2004_percent,2008_percent,2012_percent,2016_percent,party2000,party2004,party2008,party2012,party2016,Switch_1996_2000,Switch_2000_2004,Switch_2004_2008,Switch_2008_2012,Switch_2012_2016,county,state
52,2007,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.561023395,0.581877316,0.578024601,0.692673267,0.715577526,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,District 7,Alaska
53,2009,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.704264706,0.60369145,0.579728405,0.733261339,0.681259772,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,District 9,Alaska
54,2010,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.63856371,0.62744186,0.604096171,0.750076104,0.691924779,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,District 10,Alaska
55,2011,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.567335244,0.712476008,0.784107034,0.70177268,0.665084116,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,District 11,Alaska
56,2012,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.608604131,0.684508231,0.720384767,0.663375501,0.69464529,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,District 12,Alaska
57,2013,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.485081204,0.66837372,0.731563422,0.539337656,0.616562069,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,District 13,Alaska
58,2014,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.639059305,0.689284795,0.775439939,0.488539898,0.573704415,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,District 14,Alaska
59,2024,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.63967151,0.575201872,0.536810614,0.536699136,0.518612335,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,District 24,Alaska
60,2027,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.643226672,0.602324263,0.60708402,0.55576088,0.46510304,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,District 27,Alaska
61,2028,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.644293478,0.622418879,0.607945261,0.696177062,0.474577754,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,District 28,Alaska
62,2029,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.459480902,0.613064133,0.592789428,0.720758956,0.675644028,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,District 29,Alaska
63,2030,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.595429887,0.611854551,0.598932811,0.577801157,0.692067039,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,District 30,Alaska
64,2035,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.670322783,0.519142684,0.52183521,0.548759377,0.45399248,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,District 35,Alaska
65,4003,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.546914954,0.596992109,0.594551413,0.601942738,0.561671499,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Cochise,Arizona
66,4007,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.516350925,0.592189224,0.631128823,0.625,0.386462109,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Gila,Arizona
67,4009,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.621585265,0.696548507,0.697593071,0.681231548,0.395203388,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Graham,Arizona
68,4011,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.546959459,0.619171829,0.587710264,0.535305985,0.36440678,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Greenlee,Arizona
69,4012,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.567254071,0.624727992,0.632024496,0.64964142,0.672660057,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,La Paz,Arizona
70,4013,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.532291818,0.569653683,0.546863576,0.544753654,0.476683756,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Maricopa,Arizona
71,4015,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.552456899,0.63649731,0.655765106,0.702299671,0.729044444,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Mohave,Arizona
72,4017,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.492543842,0.534180503,0.55198324,0.532583367,0.510671564,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Navajo,Arizona
73,4021,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.487333495,0.572653276,0.566545579,0.573133915,0.562109212,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Pinal,Arizona
